,Title,Difficult,Description,Link,Departments,Topics,urls
33,Water and Wastewater Treatment Engineering,Graduate,"This course is an overview of engineering approaches to protecting water quality with an emphasis on fundamental principals. Theory and conceptual design of systems for treating municipal wastewater and drinking water are discussed, as well as reactor theory, process kinetics, and models. Physical, chemical, and biological processes are presented, including sedimentation, filtration, biological treatment, disinfection, and sludge processing. Finally, there is discussion of engineered and natural processes for wastewater treatment.Show less",https://ocw.mit.edu/courses/1-85-water-and-wastewater-treatment-engineering-spring-2006/,Civil and Environmental Engineering,"Engineering, Environmental Engineering, Aquatic Sciences and Water Quality Control, Hydrology and Water Resource Systems, Engineering, Environmental Engineering, Aquatic Sciences and Water Quality Control, Hydrology and Water Resource Systems",https://ocw.mit.edu/courses/1-85-water-and-wastewater-treatment-engineering-spring-2006/5e23ac55e86cbd568daa8dd8b2662b59_1-85s06.jpg
34,"Exploring Sea, Space, & Earth: Fundamentals of Engineering Design",Undergraduate,"Student teams formulate and complete space/earth/ocean exploration-based design projects with weekly milestones. This course introduces core engineering themes, principles, and modes of thinking, and includes exercises in written and oral communication and team building. Specialized learning modules enable teams to focus on the knowledge required to complete their projects, such as machine elements, electronics, design process, visualization and communication. Examples of projects include surveying a lake for millfoil from a remote controlled aircraft, then sending out robotic harvesters to clear the invasive growth; and exploration to search for the evidence of life on a moon of Jupiter, with scientists participating through teleoperation and supervisory control of robots.Show less",https://ocw.mit.edu/courses/2-00aj-exploring-sea-space-earth-fundamentals-of-engineering-design-spring-2009/,Mechanical Engineering,"Engineering, Electrical Engineering, Robotics and Control Systems, Mechanical Engineering, Mechanical Design, Ocean Engineering, Ocean Exploration, Systems Engineering, Systems Design, Engineering, Electrical Engineering, Robotics and Control Systems, Mechanical Engineering, Mechanical Design, Ocean Engineering, Ocean Exploration, Systems Engineering, Systems Design",https://ocw.mit.edu/courses/2-00aj-exploring-sea-space-earth-fundamentals-of-engineering-design-spring-2009/b6a31a6a85998d664ea826a766d9032b_2-00ajs09.jpg
35,Desalination and Water Purification,Graduate,"Water supply is a problem of worldwide concern: more than 1 billion people do not have reliable access to clean drinking water. Water is a particular problem for the developing world, but scarcity also impacts industrial societies. Water purification and desalination technology can be used to convert brackish ground water or seawater into drinking water. The challenge is to do so sustainably, with minimum cost and energy consumption, and with appropriately accessible technologies.
This subject will survey the state-of-the-art in water purification by desalination and filtration. Fundamental thermodynamic and transport processes which govern the creation of fresh water from seawater and brackish ground water will be developed. The technologies of existing desalination systems will be discussed, and factors which limit the performance or the affordability of these systems will be highlighted. Energy efficiency will be a focus. Nanofiltration and emerging technologies for desalination will be considered. A student project in desalination will involve designing a well-water purification system for a village in Haiti.
Show less",https://ocw.mit.edu/courses/2-500-desalination-and-water-purification-spring-2009/,Mechanical Engineering,"Energy, Climate, Engineering, Chemical Engineering, Separation Processes, Environmental Engineering, Aquatic Sciences and Water Quality Control, Hydrology and Water Resource Systems, Ocean Engineering, Oceanic Pollution Control, Energy, Climate, Engineering, Chemical Engineering, Separation Processes, Environmental Engineering, Aquatic Sciences and Water Quality Control, Hydrology and Water Resource Systems, Ocean Engineering, Oceanic Pollution Control",https://ocw.mit.edu/courses/2-500-desalination-and-water-purification-spring-2009/e49f672b88e589aa7a4591d86ddf9c21_2-500s09.jpg
36,Fundamentals of Advanced Energy Conversion,Undergraduate,"This course covers fundamentals of thermodynamics, chemistry, and transport applied to energy systems. Topics include analysis of energy conversion and storage in thermal, mechanical, chemical, and electrochemical processes in power and transportation systems, with emphasis on efficiency, performance, and environmental impact. Applications include fuel reforming and alternative fuels, hydrogen, fuel cells and batteries, combustion, catalysis, combined and hybrid power cycles using fossil, nuclear and renewable resources.Show less",https://ocw.mit.edu/courses/2-60j-fundamentals-of-advanced-energy-conversion-spring-2020/,Mechanical Engineering,"Energy, Combustion, Fossil Fuels, Fuel Cells, Hydrogen and Alternatives, Nuclear, Renewables, Engineering, Chemical Engineering, Transport Processes, Systems Engineering, Science, Physics, Thermodynamics, Energy, Combustion, Fossil Fuels, Fuel Cells, Hydrogen and Alternatives, Nuclear, Renewables, Engineering, Chemical Engineering, Transport Processes, Systems Engineering, Science, Physics, Thermodynamics",https://ocw.mit.edu/courses/2-60j-fundamentals-of-advanced-energy-conversion-spring-2020/92fc5969d1aa2ec6a7e2ed62f781e38b_2-60js20.jpg
37,Principles of Engineering Practice,Undergraduate,"This class introduces students to the interdisciplinary nature of 21st-century engineering projects with three threads of learning: a technical toolkit, a social science toolkit, and a methodology for problem-based learning. Students encounter the social, political, economic, and technological challenges of engineering practice by participating in real engineering projects with faculty and industry; this semester’s major project focuses on the engineering and economics of solar cells. Student teams will create prototypes and mixed media reports with exercises in project planning, analysis, design, optimization, demonstration, reporting and team building.Show less",https://ocw.mit.edu/courses/3-003-principles-of-engineering-practice-spring-2010/,Materials Science and Engineering,"Business, Management, Engineering, Electrical Engineering, Materials Science and Engineering, Electronic Materials, Business, Management, Engineering, Electrical Engineering, Materials Science and Engineering, Electronic Materials",https://ocw.mit.edu/courses/3-003-principles-of-engineering-practice-spring-2010/fe3a1cbf6a783697b2195b932a571f9c_3-003s10.jpg
38,Economic & Environmental Issues in Materials Selection,Undergraduate,"Choice of material has implications throughout the life-cycle of a product, influencing many aspects of economic and environmental performance. This course will provide a survey of methods for evaluating those implications. Lectures will cover topics in material choice concepts, fundamentals of engineering economics, manufacturing economics modeling methods, and life-cycle environmental evaluation.Show less",https://ocw.mit.edu/courses/3-080-economic-environmental-issues-in-materials-selection-fall-2005/,Materials Science and Engineering,"Engineering, Materials Science and Engineering, Science, Earth Science, Environmental Science, Social Science, Economics, Engineering, Materials Science and Engineering, Science, Earth Science, Environmental Science, Social Science, Economics",https://ocw.mit.edu/courses/3-080-economic-environmental-issues-in-materials-selection-fall-2005/de22d5ac8537cc7b8cd7732c43e234e3_3-080f05.jpg
39,Environmental Technologies in Buildings,Undergraduate,"This course focuses on the thermal, luminous, and acoustic behavior of buildings, examining the basic scientific principles underlying these phenomena and introducing students to technologies and analysis techniques for designing comfortable indoor environments. Students are challenged to apply these techniques and explore the role light, energy, and sound can play in shaping architecture.Show less",https://ocw.mit.edu/courses/4-401-environmental-technologies-in-buildings-fall-2018/,Architecture,"Energy, Buildings, Fine Arts, Architecture, Environmental Design, Energy, Buildings, Fine Arts, Architecture, Environmental Design",https://ocw.mit.edu/courses/4-401-environmental-technologies-in-buildings-fall-2018/3dabcea4815af7e1fdbc9fd88a814bab_4-401f18.jpg
40,Fundamentals of Energy in Buildings,Undergraduate,"This design-based subject provides a first course in energy and thermo-sciences with applications to sustainable energy-efficient architecture and building technology. No previous experience with subject matter is assumed. After taking this subject, students will understand introductory thermodynamics and heat transfer, know the leading order factors in building energy use, and have creatively employed their understanding of energy fundamentals and knowledge of building energy use in innovative building design projects. This year, the focus will be on design projects that will complement the new NSTAR/MIT campus efficiency program.Show less",https://ocw.mit.edu/courses/4-42j-fundamentals-of-energy-in-buildings-fall-2010/,Architecture,"Fine Arts, Architecture, Architectural Design, Architectural Engineering, Environmental Design, Fine Arts, Architecture, Architectural Design, Architectural Engineering, Environmental Design",https://ocw.mit.edu/courses/4-42j-fundamentals-of-energy-in-buildings-fall-2010/f3f02f4df67ed359def8909015647fb3_4-42jf10.jpg
41,Advanced Seminar: Urban Nature and City Design,Graduate,"This course will explore the mutual influences of ideas of nature, theories of city design and planning, and practices of urban design, construction, and management. We will investigate how natural processes shape urban landscapes (from the scale of street corner to region) and how to intervene strategically in those processes in order to achieve certain goals. We will examine cases of cities that adapted successfully to natural processes and those that did not. Students will then have the opportunity to research a case of their choice and to present their findings for discussion. The subject may be historical or an an example of contemporary theory and practice.Show less",https://ocw.mit.edu/courses/11-308j-advanced-seminar-urban-nature-and-city-design-fall-2012/,Urban Studies and Planning,"Social Science, Urban Studies, Urban Planning, Social Science, Urban Studies, Urban Planning",https://ocw.mit.edu/courses/11-308j-advanced-seminar-urban-nature-and-city-design-fall-2012/d5d3efcc79bb5981b591fbdbbb3b35a0_11-308jf12.jpg
42,Water and Sanitation Infrastructure in Developing Countries,Graduate,"This course deals with the principles of infrastructure planning in developing countries, with a focus on appropriate and sustainable technologies for water and sanitation. It also incorporates technical, socio-cultural, public health, and economic factors into the planning and design of water and sanitation systems. Upon completion, students will be able to plan simple, yet reliable, water supply and sanitation systems for developing countries that are compatible with local customs and available human and material resources. Graduate and upper division students from any department who are interested in international development at the grassroots level are encouraged to participate in this interdisciplinary subject.
ACKNOWLEDGMENT
This course was jointly developed by Earthea Nance and Susan Murcott in Spring 2006.
Show less",https://ocw.mit.edu/courses/11-479j-water-and-sanitation-infrastructure-in-developing-countries-spring-2007/,Urban Studies and Planning,"Engineering, Environmental Engineering, Aquatic Sciences and Water Quality Control, Environmental Management, Hydrology and Water Resource Systems, Health and Medicine, Public Health, Social Science, Public Administration, Environmental Policy, Urban Studies, Regional Planning, Society, The Developing World, Engineering, Environmental Engineering, Aquatic Sciences and Water Quality Control, Environmental Management, Hydrology and Water Resource Systems, Health and Medicine, Public Health, Social Science, Public Administration, Environmental Policy, Urban Studies, Regional Planning, Society, The Developing World",https://ocw.mit.edu/courses/11-479j-water-and-sanitation-infrastructure-in-developing-countries-spring-2007/c09cdb3dc08bfddf9a01ec0d94ab5a39_11-479js07.jpg
43,Global Freshwater Crisis,Undergraduate,"For the first time in history, the global demand for freshwater is overtaking its supply in many parts of the world. The U.N. predicts that by 2025, more than half of the countries in the world will be experiencing water stress or outright shortages. Lack of water can cause disease, food shortages, starvation, migrations, political conflict, and even lead to war. Models of cooperation, both historic and contemporary, show the way forward. The first half of the course details the multiple facets of the water crisis. Topics include water systems, water transfers, dams, pollution, climate change, scarcity, water conflict/cooperation, food security, and agriculture. The second half of the course describes innovative solutions: Adaptive technologies and adaptation through policy, planning, management, economic tools, and finally, human behaviors required to preserve this precious and imperiled resource. Several field trips to water/wastewater/biosolids reuse and water-energy sites will help us to better comprehend both local and international challenges and solutions.Show less",https://ocw.mit.edu/courses/11-s196-global-freshwater-crisis-spring-2011/,Urban Studies and Planning,"Engineering, Environmental Engineering, Aquatic Sciences and Water Quality Control, Environmental Management, Hydrodynamics and Coastal Engineering, Social Science, Economics, International Development, Engineering, Environmental Engineering, Aquatic Sciences and Water Quality Control, Environmental Management, Hydrodynamics and Coastal Engineering, Social Science, Economics, International Development",https://ocw.mit.edu/courses/11-s196-global-freshwater-crisis-spring-2011/db3430173a801ffdf4f4f2b545432580_11-s196s11.jpg
44,The Sustainability Response to COVID-19,Graduate,"This course explores the importance of public transportation to social and economic recovery from the COVID-19 pandemic and seeks to identify approaches to restoring transit ridership, with a focus on Metro Boston. We will attempt to (1) understand whether and how the COVID-19 pandemic can advance sustainable mobility, and specifically the role(s) of public transportation in the COVID-19 recovery process, and (2) identify policies and/or interventions that may encourage pre-COVID transit riders to return to transit and attract net new transit ridership.Show less",https://ocw.mit.edu/courses/11-s955-the-sustainability-response-to-covid-19-january-iap-2021/,Urban Studies and Planning,"Energy, Transportation, Health and Medicine, Public Health, Social Science, Urban Studies, Transportation Planning, Energy, Transportation, Health and Medicine, Public Health, Social Science, Urban Studies, Transportation Planning",https://ocw.mit.edu/courses/11-s955-the-sustainability-response-to-covid-19-january-iap-2021/f960128042ebe2ff78d7073b05ae18a8_11-s955iap21.jpg
45,Solving Complex Problems,Undergraduate,"12.000 Solving Complex Problems is designed to provide students the opportunity to work as part of a team to propose solutions to a complex problem that requires an interdisciplinary approach. For the students of the class of 2013, 12.000 will revolve around the issues associated with what we can and must do about the steadily increasing amounts CO2 in Earth’s atmosphere.
12.000 is a core course for the MIT Terrascope freshman learning community. Each year’s class explores a different problem in detail through the study of complementary case histories and the development of creative solution strategies. It includes training in Web site development, effective written and oral communication, and team building. Initially developed with major financial support from the d’Arbeloff Fund for Excellence in Education, 12.000 is designed to enhance the freshman experience by helping students develop contexts for other subjects in the sciences and humanities, and by helping them to establish learning communities that include upperclassmen, faculty, MIT alumni, and professionals in science and engineering fields.
Show less",https://ocw.mit.edu/courses/12-000-solving-complex-problems-fall-2009/,"Earth, Atmospheric, and Planetary Sciences","Engineering, Environmental Engineering, Environmental Management, Science, Earth Science, Atmospheric Science, Environmental Science, Social Science, Public Administration, Environmental Policy, Engineering, Environmental Engineering, Environmental Management, Science, Earth Science, Atmospheric Science, Environmental Science, Social Science, Public Administration, Environmental Policy",https://ocw.mit.edu/courses/12-000-solving-complex-problems-fall-2009/d0858e57959fc33931782b75722957ef_12-000f09.jpg
46,D-Lab: Supply Chains,Undergraduate,"This course introduces concepts of supply chain design and operations with a focus on supply chains for products destined to improve quality of life in developing countries. Topics include demand estimation, capacity planning and process analysis, inventory management, and supply chain coordination and performance. We also cover issues specific to emerging markets, such as sustainable supply chains, how to couple product design with supply chain design and operation, and how to account for the value-adding role of a supply chain. A major aspect of class is the student projects on supply chain design or improvement.Show less",https://ocw.mit.edu/courses/15-772j-d-lab-supply-chains-fall-2014/,Sloan School of Management,"Business, Supply Chain Management, Society, The Developing World, Business, Supply Chain Management, Society, The Developing World",https://ocw.mit.edu/courses/15-772j-d-lab-supply-chains-fall-2014/bbfbe2108c45d842b113a3bd45fb73a8_15-772jf14.jpg
47,Nuclear Systems Design Project,"Undergraduate, Graduate","This capstone course is a group design project involving integration of nuclear physics, particle transport, control, heat transfer, safety, instrumentation, materials, environmental impact, and economic optimization. It provides opportunities to synthesize knowledge acquired in nuclear and non-nuclear subjects and apply this knowledge to practical problems of current interest in nuclear applications design. Each year, the class takes on a different design project; this year, the project is a power plant design that ties together the creation of emission-free electricity with carbon sequestration and fossil fuel displacement. Students taking graduate version complete additional assignments.
This course is an elective subject in MIT’s undergraduate Energy Studies Minor. This Institute-wide program complements the deep expertise obtained in any major with a broad understanding of the interlinked realms of science, technology, and social sciences as they relate to energy and associated environmental challenges.
Show less",https://ocw.mit.edu/courses/22-033-nuclear-systems-design-project-fall-2011/,Nuclear Science and Engineering,"Business, Project Management, Energy, Hydrogen and Alternatives, Nuclear, Renewables, Engineering, Nuclear Engineering, Nuclear Systems, Policy, and Economics, Systems Engineering, Systems Design, Science, Physics, Nuclear Physics, Business, Project Management, Energy, Hydrogen and Alternatives, Nuclear, Renewables, Engineering, Nuclear Engineering, Nuclear Systems, Policy, and Economics, Systems Engineering, Systems Design, Science, Physics, Nuclear Physics",https://ocw.mit.edu/courses/22-033-nuclear-systems-design-project-fall-2011/2dd223d254f7cf31e2c811afdb87eeb8_22-033f11.jpg
48,Introduction to Sustainable Energy,"Undergraduate, Graduate","This class assesses current and potential future energy systems, covering resources, extraction, conversion, and end-use technologies, with emphasis on meeting regional and global energy needs in the 21st century in a sustainable manner. Instructors and guest lecturers will examine various renewable and conventional energy production technologies, energy end-use practices and alternatives, and consumption practices in different countries. Students will learn a quantitative framework to aid in evaluation and analysis of energy technology system proposals in the context of engineering, political, social, economic, and environmental goals. Students taking the graduate version, Sustainable Energy, complete additional assignments.Show less",https://ocw.mit.edu/courses/22-081j-introduction-to-sustainable-energy-fall-2010/,Nuclear Science and Engineering,"Energy, Combustion, Electricity, Fossil Fuels, Nuclear, Renewables, Technology, Transportation, Engineering, Electrical Engineering, Electric Power, Science, Earth Science, Sustainability, Social Science, Public Administration, Science and Technology Policy, Energy, Combustion, Electricity, Fossil Fuels, Nuclear, Renewables, Technology, Transportation, Engineering, Electrical Engineering, Electric Power, Science, Earth Science, Sustainability, Social Science, Public Administration, Science and Technology Policy",https://ocw.mit.edu/courses/22-081j-introduction-to-sustainable-energy-fall-2010/61602f1b9bd68d301f9fbe3893c266d9_22-081jf10.jpg
49,D-Lab I: Development,Undergraduate,"D-Lab Development addresses issues of technological improvements at the micro level for developing countries—in particular, how the quality of life of low-income households can be improved by adaptation of low cost and sustainable technologies. Discussion of development issues as well as project implementation challenges are addressed through lectures, case studies, guest speakers and laboratory exercises. Students form project teams to partner with mostly local level organizations in developing countries, and formulate plans for an IAP site visit. (Previous field sites include Ghana, Brazil, Honduras and India.) Project team meetings focus on developing specific projects and include cultural, social, political, environmental and economic overviews of the countries and localities to be visited as well as an introduction to the local languages.Show less",https://ocw.mit.edu/courses/ec-701j-d-lab-i-development-fall-2009/,Edgerton Center,"Engineering, Science, Earth Science, Sustainability, Social Science, Economics, Developmental Economics, Society, The Developing World, Engineering, Science, Earth Science, Sustainability, Social Science, Economics, Developmental Economics, Society, The Developing World",https://ocw.mit.edu/courses/ec-701j-d-lab-i-development-fall-2009/616e7a7bf16fbcef2928b0da889f6782_ec-701jf09.jpg
50,D-Lab II: Design,Undergraduate,"D-Lab: Design addresses problems faced by undeserved communities with a focus on design, experimentation, and prototyping processes. Particular attention is placed on constraints faced when designing for developing countries. Multidisciplinary teams work on semester-long projects in collaboration with community partners, field practitioners, and experts in relevant fields. Topics covered include design for affordability, design for manufacture, sustainability, and strategies for working effectively with community partners and customers. Students may continue projects begun in EC.701J D-Lab I: Development.Show less",https://ocw.mit.edu/courses/ec-720j-d-lab-ii-design-spring-2010/,Edgerton Center,"Engineering, Science, Earth Science, Sustainability, Social Science, Economics, Developmental Economics, Society, The Developing World, Engineering, Science, Earth Science, Sustainability, Social Science, Economics, Developmental Economics, Society, The Developing World",https://ocw.mit.edu/courses/ec-720j-d-lab-ii-design-spring-2010/1e7f669f9a7b0af8094fcf5119d01820_ec-720js10.jpg
51,D-Lab: Energy,Undergraduate,"D-Lab: Energy offers a hands-on, project-based approach that engages students in understanding and addressing the applications of small-scale, sustainable energy technology in developing countries where compact, robust, low-cost systems for generating power are required. Projects may include micro-hydro, solar, or wind turbine generators along with theoretical analysis, design, prototype construction, evaluation and implementation. Students will have the opportunity both to travel to Nicaragua during spring break to identify and implement projects.
D-Lab: Energy is part of MIT’s D-Lab program, which fosters the development of appropriate technologies and sustainable solutions within the framework of international development.
This course is an elective subject in MIT’s undergraduate Energy Studies Minor. This Institute-wide program complements the deep expertise obtained in any major with a broad understanding of the interlinked realms of science, technology, and social sciences as they relate to energy and associated environmental challenges.
Show less",https://ocw.mit.edu/courses/ec-711-d-lab-energy-spring-2011/,Edgerton Center,"Energy, Engineering, Electrical Engineering, Electric Power, Science, Earth Science, Sustainability, Society, The Developing World, Energy, Engineering, Electrical Engineering, Electric Power, Science, Earth Science, Sustainability, Society, The Developing World",https://ocw.mit.edu/courses/ec-711-d-lab-energy-spring-2011/904b1bf01a94f63a980908933b86bfda_ec-711s11.jpg
52,"D-Lab: Water, Sanitation, and Hygiene",Undergraduate,"This course focuses on disseminating Water, Sanitation and Hygiene (WASH) or water/environment innovations in developing countries and underserved communities worldwide. It emphasizes core WASH and water/environment principles, culture-specific solutions, tools for start-ups, appropriate and sustainable technologies, behavior change, social marketing, building partnerships, and the theory and practice of innovation diffusion.Show less",https://ocw.mit.edu/courses/ec-715-d-lab-water-sanitation-and-hygiene-fall-2019/,Edgerton Center,"Engineering, Environmental Engineering, Aquatic Sciences and Water Quality Control, Health and Medicine, Public Health, Science, Earth Science, Sustainability, Society, The Developing World, Engineering, Environmental Engineering, Aquatic Sciences and Water Quality Control, Health and Medicine, Public Health, Science, Earth Science, Sustainability, Society, The Developing World",https://ocw.mit.edu/courses/ec-715-d-lab-water-sanitation-and-hygiene-fall-2019/f402674eb612e32df8ec9f7a8d3465b2_ec-715f19.jpg
53,Climate Action Hands-On: Harnessing Science with Communities to Cut Carbon,Non-Credit,"This course explores how citizen science can support community actions to combat climate change. Participants will learn about framing problems, design ways to gather data, gather some of their own field data, and consider how the results can enable action. Leaks in the natural gas system—a major source of methane emissions, and a powerful contributor to climate change—will be a particular focus.
The course was organized by ClimateX and Fossil Free MIT, with support from the National Science Foundation for the methane monitoring equipment. It was offered during the Independent Activities Period (IAP), which is a special 4-week January term at MIT.
Show less",https://ocw.mit.edu/courses/res-env-001-climate-action-hands-on-harnessing-science-with-communities-to-cut-carbon-january-iap-2017/,Unknown,"Energy, Climate, Fossil Fuels, Engineering, Environmental Engineering, Environmental Management, Social Science, Public Administration, Environmental Policy, Energy, Climate, Fossil Fuels, Engineering, Environmental Engineering, Environmental Management, Social Science, Public Administration, Environmental Policy",https://ocw.mit.edu/courses/res-env-001-climate-action-hands-on-harnessing-science-with-communities-to-cut-carbon-january-iap-2017/6c42c4fa9fd610ae5240d92dacf971a5_res-env-001iap17.jpg
54,Ecologies of Construction,Graduate,Ecologies of Construction examines the resource requirements for the making and maintenance of the contemporary built environment. This course introduces the field of industrial ecology as a primary source of concepts and methods in the mapping of material and energy expenditures dedicated to construction activities.,https://ocw.mit.edu/courses/4-406-ecologies-of-construction-spring-2007/,Architecture,"Fine Arts, Architecture, Architectural Engineering, Environmental Design, Fine Arts, Architecture, Architectural Engineering, Environmental Design",https://ocw.mit.edu/courses/4-406-ecologies-of-construction-spring-2007/ebfa98a9aee91be67864e63f5261ed65_4-406s07.jpg
